participant,model,trial,user_face,body_pose,robot_joint,dialogue,depth,interaction_labels
P1,M3,1,True,True,True,True,True,True
P1,M3,2,True,True,True,True,True,True
P10,M1,1,True,True,True,True,True,True
P10,M1,2,True,True,True,True,True,True
P10,M1,3,True,True,True,True,True,True
P10,M2,1,True,True,True,True,True,True
P10,M3,1,True,True,True,True,True,True
P10,M3,2,True,True,True,True,True,True
P10,M3,3,True,True,True,True,True,True
P11,M1,1,True,True,True,True,True,True
P11,M1,2,True,True,True,True,True,True
P11,M1,3,True,True,True,True,True,True
P11,M3,1,True,True,True,True,True,True
P11,M3,2,True,True,True,True,True,True
P11,M3,3,True,True,True,True,True,True
P12,M1,1,True,True,True,True,True,True
P12,M1,2,True,True,True,True,True,True
P12,M1,3,True,True,True,True,True,True
P12,M2,1,True,True,True,True,True,True
P12,M2,2,True,True,True,True,True,True
P12,M2,3,True,True,True,True,True,True
P12,M3,1,True,True,True,True,True,True
P12,M3,2,True,True,True,True,True,True
P12,M3,3,True,True,True,True,True,True
P13,M1,1,True,True,True,True,True,True
P13,M2,1,True,True,True,True,True,True
P13,M3,1,True,True,True,True,True,True
P13,M3,2,True,True,True,True,True,True
P13,M3,3,True,True,True,True,True,True
P14,M1,1,True,True,True,True,True,True
P14,M1,2,True,True,True,True,True,True
P14,M1,3,True,True,True,True,True,True
P14,M2,1,True,True,True,True,True,True
P14,M2,2,True,True,True,True,True,True
P14,M2,3,True,True,True,True,True,True
P14,M3,1,True,True,True,True,True,True
P14,M3,2,True,True,True,True,True,True
P14,M3,3,True,True,True,True,True,True
P15,M1,1,True,True,True,True,True,True
P15,M1,2,True,True,True,True,True,True
P15,M1,3,True,True,True,True,True,True
P15,M2,1,True,True,True,True,True,True
P15,M2,2,True,True,True,True,True,True
P15,M2,3,True,True,True,True,True,True
P15,M3,1,True,True,True,True,True,True
P15,M3,2,True,True,True,True,True,True
P15,M3,3,True,True,True,True,True,True
P16,M1,1,True,True,True,True,True,True
P16,M1,2,True,True,True,True,True,True
P16,M1,3,True,True,True,True,True,True
P16,M2,1,True,True,True,True,True,True
P16,M2,2,True,True,True,True,True,True
P16,M2,3,True,True,True,True,True,True
P16,M3,1,True,True,True,True,True,True
P16,M3,2,True,True,True,True,True,True
P16,M3,3,True,True,True,True,True,True
P17,M1,1,True,True,True,True,True,True
P17,M1,2,True,True,True,True,True,True
P17,M1,3,True,True,True,True,True,True
P17,M2,1,True,True,True,True,True,True
P17,M2,2,True,True,True,True,True,True
P17,M2,3,True,True,True,True,True,True
P17,M3,1,True,True,True,True,True,True
P17,M3,2,True,True,True,True,True,True
P17,M3,3,True,True,True,True,True,True
P18,M1,1,True,True,True,True,True,True
P18,M1,2,True,True,True,True,True,True
P18,M1,3,True,True,True,True,True,True
P18,M2,1,True,True,True,True,True,True
P18,M2,2,True,True,True,True,True,True
P18,M2,3,True,True,True,True,True,True
P18,M3,1,True,True,True,True,True,True
P18,M3,2,True,True,True,True,True,True
P18,M3,3,True,True,True,True,True,True
P2,M2,1,True,True,True,True,True,True
P2,M2,2,True,True,True,True,True,True
P2,M2,3,True,True,True,True,True,True
P2,M3,1,True,True,True,True,True,True
P2,M3,2,True,True,True,True,True,True
P2,M3,3,True,True,True,True,True,True
P3,M2,1,True,True,True,True,True,True
P3,M2,2,True,True,True,True,True,True
P3,M2,3,True,True,True,True,True,True
P3,M3,1,True,True,True,True,True,True
P3,M3,2,True,True,True,True,True,True
P3,M3,3,True,True,True,True,True,True
P4,M1,1,True,True,True,True,True,True
P4,M1,2,True,True,True,True,True,True
P4,M2,1,True,True,True,True,True,True
P4,M2,2,True,True,True,True,True,True
P4,M2,3,True,True,True,True,True,True
P4,M3,1,True,True,True,True,True,True
P4,M3,2,True,True,True,True,True,True
P4,M3,3,True,True,True,True,True,True
P5,M1,1,True,True,True,True,True,True
P5,M1,2,True,True,True,True,True,True
P5,M1,3,True,True,True,True,True,True
P5,M2,1,True,True,True,True,True,True
P5,M2,2,True,True,True,True,True,True
P5,M2,3,True,True,True,True,True,True
P5,M3,1,True,True,True,True,True,True
P6,M1,1,True,True,True,True,True,True
P6,M1,2,True,True,True,True,True,True
P6,M1,3,True,True,True,True,True,True
P6,M2,1,True,True,True,True,True,True
P6,M2,2,True,True,True,True,True,True
P6,M2,3,True,True,True,True,True,True
P6,M3,1,True,True,True,True,True,True
P6,M3,2,True,True,True,True,True,True
P6,M3,3,True,True,True,True,True,True
P7,M1,1,True,True,True,True,True,True
P7,M2,1,True,True,True,True,True,True
P7,M2,2,True,True,True,True,True,True
P7,M2,3,True,True,True,True,True,True
P7,M3,1,True,True,True,True,True,True
P7,M3,2,True,True,True,True,True,True
P7,M3,3,True,True,True,True,True,True
P8,M1,1,True,True,True,True,True,True
P8,M1,2,True,True,True,True,True,True
P8,M1,3,True,True,True,True,True,True
P8,M2,1,True,True,True,True,True,True
P8,M2,2,True,True,True,True,True,True
P8,M2,3,True,True,True,True,True,True
P8,M3,1,True,True,True,True,True,True
P8,M3,2,True,True,True,True,True,True
P8,M3,3,True,True,True,True,True,True
P9,M1,1,True,True,True,True,True,True
P9,M2,1,True,True,True,True,True,True
P9,M2,2,True,True,True,True,True,True
P9,M2,3,True,True,True,True,True,True
P9,M3,1,True,True,True,True,True,True
P9,M3,2,True,True,True,True,True,True
P9,M3,3,True,True,True,True,True,True
